Time[s], Data[Decimal]
0.401335625,1
0.4013364583,0
0.401336875,1
0.4013377083,0
0.401338125,1
0.4013389583,0
0.401339375,1
0.4013402083,0
0.401340625,1
0.4013414583,0
0.401341875,1
0.4013427083,0
0.401343125,1
0.4013439583,0
0.401344375,1
0.4013452083,0
0.401345625,1
0.4013464583,0
0.401346875,1
0.4013477083,0
0.401348125,1
0.4013489583,0
0.401349375,1
0.40135025,0
0.401350625,1
0.4013515,0
0.401351875,1
0.40135275,0
0.401353125,1
0.401354,0
0.401354375,1
0.40135525,0
0.401355625,1
0.4013565,0
0.401356875,1
0.40135775,0
0.401358125,1
0.401359,0
0.401359375,1
0.40136025,0
0.401360625,1
0.4013615,0
0.401361875,1
0.40136275,0
0.401363125,1
0.401364,0
0.401364375,1
0.40136525,0
0.401365625,1
0.4013665,0
0.401366875,1
0.40136775,0
0.401368125,1
0.401369,0
0.401369375,1
0.40137025,0
0.4013706667,1
0.4013715,0
0.4013719167,1
0.40137275,0
0.4013731667,1
0.401374,0
0.4013744167,1
0.40137525,0
0.4013756667,1
0.4013765,0
0.4013769167,1
0.40137775,0
0.4013781667,1
0.401379,0
0.4013794167,1
0.40138025,0
0.4013806667,1
0.4013815,0
0.4013819167,1
0.40138275,0
0.4013831667,1
0.401384,0
0.4013844167,1
0.40138525,0
0.4013856667,1
0.4013865,0
0.4013869167,1
0.40138775,0
0.4013881667,1
0.401389,0
0.4013894167,1
0.40139025,0
0.4013906667,1
0.4013915,0
0.4013919167,1
0.40139275,0
0.4013931667,1
0.401394,0
0.401394375,1
0.40139525,0
0.401395625,1
0.4013965,0
0.401396875,1
0.40139775,0
0.4013981667,1
0.401399,0
0.4013994167,1
0.40140025,0
0.4014006667,1
0.4014015,0
0.4014019167,1
0.40140275,0
0.4014031667,1
0.401404,0
0.4014044167,1
0.40140525,0
0.4014056667,1
0.4014065,0
0.4014069167,1
0.40140775,0
0.4014081667,1
0.401409,0
0.4014094167,1
0.40141025,0
0.4014106667,1
0.4014115,0
0.4014119167,1
0.40141275,0
0.4014131667,1
0.401414,0
0.4014144167,1
0.40141525,0
0.4014156667,1
0.4014165,0
0.4014169167,1
0.40141775,0
0.4014181667,1
0.401419,0
0.4014194167,1
0.40142025,0
0.4014206667,1
0.4014215,0
